GRD_ID,totalpop_1km,students_1km,mobile_adults_1km,elderly_1km,births_1km,deaths_1km,marriagesM_1km,marriagesF_1km,tert_education_1km,rich_new_1km,poor_new_1km
"4482000","11","0","3","0","1","0","0","0","4","0","0"
"4483000","75","5","16","6","0","0","1","1","22","3","2"
"4484000","18","5","3","5","0","1","1","1","0","4","2"
"4485000","381","26","70","55","4","0","3","2","197","177","8"
"4486000","132","5","29","23","1","0","2","2","88","58","2"
"4483000","45","4","9","6","0","1","0","0","15","5","0"
"4484000","24","2","4","3","0","0","0","0","7","2","5"
"4485000","419","21","80","66","4","2","1","1","180","129","10"
"4486000","858","54","163","141","10","3","4","4","413","347","30"
"4482000","2","0","0","2","0","0","0","0","0","0","0"
"4483000","167","10","29","31","2","1","0","1","38","34","14"
"4484000","60","9","9","7","0","0","1","1","14","2","7"
"4485000","48","2","5","14","0","1","0","0","8","16","1"
"4486000","126","9","31","9","1","0","0","0","39","1","35"
"4487000","1467","67","259","349","15","10","6","5","607","324","91"
"4488000","977","64","145","286","12","9","5","5","303","143","78"
"4483000","1642","109","353","253","25","5","12","12","498","289","61"
"4484000","454","43","103","82","6","5","3","5","110","82","30"
"4485000","8","1","1","1","1","0","0","0","3","2","0"
"4486000","42","1","1","9","0","0","0","0","15","7","0"
"4487000","1428","90","306","273","21","10","9","8","679","366","52"
"4488000","2640","127","432","762","13","23","4","4","1273","758","139"
"4489000","1260","52","126","434","5","68","3","2","615","620","52"
"4458000","4","0","1","1","0","0","0","0","0","0","0"
"4459000","19","3","3","2","0","0","0","0","8","4","0"
"4460000","11","0","2","4","0","0","0","0","1","7","0"
"4468000","565","107","122","39","8","4","2","3","86","0","85"
"4469000","1571","184","294","247","22","10","8","10","544","271","127"
"4470000","257","19","35","61","2","1","4","4","130","91","2"
"4471000","17","0","4","1","0","0","1","1","3","4","6"
"4483000","1629","120","353","286","18","25","10","11","552","307","63"
"4484000","619","37","134","96","3","2","4","4","193","135","17"
"4485000","27","0","3","5","0","1","0","0","1","2","0"
"4486000","67","6","9","8","0","0","0","0","28","22","0"
"4487000","424","41","88","73","4","3","2","3","153","83","35"
"4488000","1541","85","222","409","14","12","5","5","719","511","58"
"4489000","1639","102","234","454","8","12","8","8","806","723","73"
"4457000","18","4","2","1","0","0","0","0","7","6","1"
"4458000","127","4","28","22","0","0","2","2","52","29","4"
"4459000","82","2","17","9","0","0","0","0","32","33","3"
"4460000","24","2","4","5","1","1","0","0","11","6","0"
"4465000","15","2","4","0","0","0","0","0","2","0","5"
"4466000","119","40","35","6","1","1","0","0","26","3","54"
"4467000","311","28","56","73","2","1","1","1","101","24","4"
"4468000","4617","604","880","723","55","30","18","18","1175","257","366"
"4469000","7920","1315","1642","1299","77","85","41","45","1804","93","986"
"4470000","1957","252","479","272","30","13","12","9","745","111","146"
"4471000","538","30","87","126","4","0","4","3","282","264","16"
"4472000","60","6","8","12","1","1","0","0","25","27","0"
"4475000","10","0","0","5","0","1","0","0","4","4","4"
"4476000","3","1","0","1","0","0","0","0","0","0","0"
"4483000","1638","98","365","261","21","6","13","12","711","363","36"
"4484000","2487","144","537","359","26","19","19","21","792","431","73"
"4485000","310","14","55","52","5","1","3","3","82","75","22"
"4486000","15","0","3","4","0","0","0","0","0","0","0"
"4487000","5","0","2","1","0","0","0","0","0","0","0"
"4488000","283","11","52","46","6","3","3","3","153","105","8"
"4489000","384","19","52","61","1","1","3","2","226","188","24"
"4457000","1","0","0","1","0","0","0","0","0","0","0"
"4458000","220","17","43","38","2","0","0","0","109","36","12"
"4459000","392","30","63","50","7","0","0","0","167","59","16"
"4460000","19","1","5","2","0","0","0","0","13","4","0"
"4461000","7","0","3","0","0","0","0","0","3","0","0"
"4462000","139","13","18","30","1","1","0","0","65","40","0"
"4463000","203","24","39","14","4","0","3","2","109","54","10"
"4464000","78","2","20","7","0","0","0","0","22","26","3"
"4465000","111","6","23","25","0","1","1","0","64","25","0"
"4466000","692","39","142","118","7","4","4","4","241","193","21"
"4467000","67","18","11","6","2","0","0","0","17","7","8"
"4468000","238","20","50","49","1","3","1","1","95","55","27"
"4469000","2761","345","599","383","35","10","18","21","691","148","327"
"4470000","3793","547","907","580","75","25","36","30","1480","335","355"
"4471000","4062","487","895","787","52","37","18","13","1624","572","254"
"4472000","3111","286","522","705","25","17","8","11","1124","476","239"
"4473000","4604","574","950","765","71","58","17","18","1331","308","593"
"4474000","2752","281","559","497","24","29","18","18","742","231","291"
"4475000","1668","194","367","272","31","6","15","12","607","244","113"
"4476000","2043","253","426","417","28","44","11","12","649","189","221"
"4477000","2941","266","610","488","39","20","14","14","1051","453","189"
"4478000","224","13","38","27","4","1","1","1","106","124","5"
