GRD_ID,totalpop_1km,dnk_1km,immigrants_1km,eu_immigrants_1km,noneu_immigrants_1km
"4482000","11","11","0","0","0"
"4483000","75","67","7","3","4"
"4484000","18","18","0","0","0"
"4485000","381","352","20","12","8"
"4486000","132","124","7","3","4"
"4483000","45","43","2","2","0"
"4484000","24","24","0","0","0"
"4485000","419","385","27","15","12"
"4486000","858","790","61","33","28"
"4482000","2","2","0","0","0"
"4483000","167","154","12","4","8"
"4484000","60","57","1","1","0"
"4485000","48","44","3","3","0"
"4486000","126","109","16","15","1"
"4487000","1467","1293","132","32","100"
"4488000","977","856","100","20","80"
"4483000","1642","1417","158","40","118"
"4484000","454","379","56","15","41"
"4485000","8","8","0","0","0"
"4486000","42","41","1","1","0"
"4487000","1428","1279","127","51","76"
"4488000","2640","2414","202","93","109"
"4489000","1260","1188","62","44","18"
"4458000","4","4","0","0","0"
"4459000","19","16","2","2","0"
"4460000","11","11","0","0","0"
"4468000","565","207","183","18","165"
"4469000","1571","997","341","116","225"
"4470000","257","235","18","12","6"
"4471000","17","16","1","1","0"
"4483000","1629","1435","133","54","79"
"4484000","619","569","36","11","25"
"4485000","27","27","0","0","0"
"4486000","67","64","3","2","1"
"4487000","424","388","35","21","14"
"4488000","1541","1435","90","53","37"
"4489000","1639","1532","94","65","29"
"4457000","18","18","0","0","0"
"4458000","127","118","9","0","9"
"4459000","82","81","1","1","0"
"4460000","24","24","0","0","0"
"4465000","15","13","2","0","2"
"4466000","119","66","37","19","18"
"4467000","311","222","42","0","42"
"4468000","4617","2987","903","179","724"
"4469000","7920","3842","2518","544","1974"
"4470000","1957","1191","536","188","348"
"4471000","538","501","30","14","16"
"4472000","60","55","4","3","1"
"4475000","10","8","1","1","0"
"4476000","3","2","1","0","1"
"4483000","1638","1436","149","52","97"
"4484000","2487","2262","183","102","81"
"4485000","310","283","25","20","5"
"4486000","15","14","1","0","1"
"4487000","5","5","0","0","0"
"4488000","283","270","12","8","4"
"4489000","384","358","26","14","12"
"4457000","1","1","0","0","0"
"4458000","220","192","26","19","7"
"4459000","392","366","20","7","13"
"4460000","19","19","0","0","0"
"4461000","7","7","0","0","0"
"4462000","139","130","9","5","4"
"4463000","203","179","20","13","7"
"4464000","78","74","3","1","2"
"4465000","111","109","1","0","1"
"4466000","692","621","43","12","31"
"4467000","67","31","30","29","1"
"4468000","238","159","44","9","35"
"4469000","2761","1597","667","115","552"
"4470000","3793","2440","814","231","583"
"4471000","4062","2807","863","214","649"
"4472000","3111","2068","663","125","538"
"4473000","4604","2116","1593","325","1268"
"4474000","2752","1735","652","153","499"
"4475000","1668","1124","340","54","286"
"4476000","2043","1515","349","70","279"
"4477000","2941","2526","295","85","210"
"4478000","224","209","12","5","7"
"4482000","1695","1065","540","308","232"
"4483000","3388","2515","717","361","356"
"4484000","2779","2501","200","80","120"
"4485000","2151","1954","139","56","83"
"4486000","1228","1069","118","47","71"
"4456000","11","11","0","0","0"
"4459000","42","36","5","3","2"
"4460000","33","33","0","0","0"
"4461000","60","52","7","5","2"
"4462000","19","12","7","4","3"
"4463000","385","302","47","11","36"
"4464000","1172","910","167","51","116"
"4465000","174","122","44","20","24"
"4466000","34","31","3","2","1"
"4467000","14","14","0","0","0"
"4468000","10","10","0","0","0"
"4469000","144","131","13","4","9"
"4470000","358","297","42","10","32"
"4471000","1570","1027","348","86","262"
"4472000","2475","903","925","125","800"
"4473000","1965","591","786","80","706"
"4474000","1167","721","271","28","243"
"4475000","5783","3750","1230","237","993"
"4476000","3960","2986","600","126","474"
"4477000","4030","3328","485","132","353"
"4478000","1563","1442","96","57","39"
"4482000","285","204","66","22","44"
"4483000","2093","1543","435","189","246"
"4484000","952","786","115","33","82"
"4485000","2231","1885","284","129","155"
"4486000","1698","1526","131","49","82"
"4488000","54","40","12","7","5"
"4456000","9","8","1","0","1"
"4457000","39","30","7","1","6"
"4458000","38","38","0","0","0"
"4459000","1496","1385","82","32","50"
"4460000","95","72","13","3","10"
"4461000","221","173","26","6","20"
"4463000","1578","1022","347","68","279"
"4464000","2809","2107","465","123","342"
"4465000","4371","3477","586","165","421"
"4466000","3531","2786","424","81","343"
"4467000","1240","1050","108","28","80"
"4469000","512","409","68","30","38"
"4470000","117","88","17","1","16"
"4471000","0","0","0","0","0"
"4472000","244","192","34","7","27"
"4473000","94","85","5","1","4"
"4474000","44","44","0","0","0"
"4475000","891","772","88","32","56"
"4476000","3655","3184","323","81","242"
"4477000","4072","3563","384","118","266"
"4478000","2514","2023","377","136","241"
"4480000","1","1","0","0","0"
"4481000","126","114","11","7","4"
"4482000","0","0","0","0","0"
"4483000","8082","4977","2450","1132","1318"
"4484000","3923","3075","621","229","392"
"4485000","6105","5180","680","151","529"
"4486000","4149","3473","507","133","374"
"4487000","5771","4845","710","217","493"
"4488000","84","60","18","3","15"
"4458000","1601","1327","211","110","101"
"4459000","2891","2315","423","176","247"
"4460000","2647","1316","823","131","692"
"4461000","710","458","161","38","123"
"4462000","1059","802","150","32","118"
"4463000","1230","726","346","105","241"
"4464000","6283","2332","2676","597","2079"
"4465000","3260","1746","1006","325","681"
"4466000","3480","2637","545","171","374"
"4467000","936","741","128","43","85"
"4468000","2271","1647","352","50","302"
"4469000","3485","2683","480","105","375"
"4470000","1181","993","105","25","80"
"4471000","820","658","110","31","79"
"4472000","2661","2301","245","86","159"
"4473000","457","369","59","18","41"
"4474000","217","181","22","4","18"
"4475000","1216","936","178","43","135"
"4476000","3875","3088","532","146","386"
"4477000","3738","3246","374","134","240"
"4478000","4238","2759","973","162","811"
"4479000","1030","566","283","63","220"
"4480000","7709","5947","1323","474","849"
"4481000","5927","4161","1562","996","566"
"4482000","4","4","0","0","0"
"4483000","441","359","59","27","32"
"4484000","4172","3342","618","249","369"
"4485000","7486","5736","1307","438","869"
"4486000","5704","4813","694","304","390"
"4487000","1549","1353","138","38","100"
"4493000","2","2","0","0","0"
"4457000","132","127","5","3","2"
"4458000","1939","1776","108","40","68"
"4459000","606","532","58","26","32"
"4460000","1","1","0","0","0"
"4461000","5","5","0","0","0"
"4462000","121","50","38","8","30"
"4463000","24","23","1","0","1"
"4464000","13","9","4","0","4"
"4465000","1022","601","284","106","178"
"4466000","2076","1531","381","144","237"
"4467000","699","551","80","16","64"
"4468000","3931","2176","1077","127","950"
"4469000","3375","2056","966","300","666"
"4470000","408","355","35","16","19"
"4471000","1361","1118","160","45","115"
"4472000","4668","3812","623","206","417"
"4473000","825","745","54","15","39"
"4474000","1296","1186","80","41","39"
"4475000","1074","979","70","21","49"
"4476000","4747","4043","547","173","374"
"4477000","6489","4402","1458","453","1005"
"4478000","5295","3421","1340","461","879"
"4479000","6881","5204","1340","685","655"
"4480000","7864","4896","2135","649","1486"
"4481000","5467","3603","1588","973","615"
"4482000","2850","2388","374","166","208"
"4483000","45","31","9","4","5"
"4484000","11340","7056","3035","978","2057"
"4485000","14695","12072","2112","1071","1041"
"4486000","4905","4291","519","296","223"
"4487000","411","338","67","36","31"
"4457000","66","64","2","2","0"
"4458000","26","26","0","0","0"
"4460000","41","31","7","2","5"
"4461000","45","44","0","0","0"
"4462000","27","21","6","6","0"
"4463000","23","19","4","1","3"
"4464000","58","41","15","8","7"
"4465000","23","22","0","0","0"
"4466000","5","5","0","0","0"
"4467000","1760","1586","98","31","67"
"4468000","2657","1709","547","93","454"
"4469000","3586","2200","821","57","764"
"4470000","2428","1601","557","90","467"
"4471000","3724","2815","642","160","482"
"4472000","4522","3458","779","260","519"
"4473000","1644","1202","269","53","216"
"4474000","6464","4552","1189","262","927"
